Qty,Designator,Description,url,option to choose
1,B1    ,"1xAAA battery holder, PCB, through-hole",https://www.aliexpress.com/item/1005006156901202.html,--
4,"C1, C2","1uF, 50V, monolithic ceramic capacitor 50V, 5mm lead spacing           ",https://www.aliexpress.com/item/1005006779043359.html,1UF
1,J1    ,"3.5mm Stereo Jack Socket Audio Jack, switched, PJ-307 ",https://www.aliexpress.com/item/1005005796606716.html,Pink
1,"LED1, LED2",1206 Micro SMD 3V Led Light Wired 30CM,https://www.aliexpress.com/item/1005005180782404.html,1206 white
1,MOD1, 0.9-5V To 5V DC-DC Step-Up Power Module Boost Converter,https://www.aliexpress.com/item/1005003932299815.html,5V
1,MOD2,"NANO V3.0 / Nano SuperMini Type-C, ATmega328P, CH340 Serial Port",https://www.aliexpress.com/item/1005006468917096.html,--
1,"R1, R2","4.7K, 1/4W, 5%, ammo pack",https://www.aliexpress.com/item/1005002369580841.html,4.7K
4,"R3, R4","47, 1/4W, 5%, ammo pack",https://www.aliexpress.com/item/1005002369580841.html,47R
1,S1,"SPST slide switch, 5-pin (On/Off)",https://www.aliexpress.com/item/1005007585395420.html,25pcs SS12F44 3mm
1,PCB,PCB,https://pcbway.com,
27,header pins,"Male Header Pins, Straight Single Row 40 Pin 0.1 Inch",https://www.aliexpress.com/item/1005007321227560.html,--
1,safety glasses,Cycling Sunglasses UV Protection Windproof Glasses,https://www.aliexpress.com/item/1005007594480877.html,black
2,zip ties,"1.8x100mm zip wrap, nylon, black",https://www.aliexpress.com/item/1005001444739470.html,1.8x100(black)
1,small bag,6x9cm ziplock plastic bag,https://www.aliexpress.com/item/1005008239410451.html,6x9cm(100pcs)
1,large bag,12x18cm ziplock plastic bag,https://www.aliexpress.com/item/1005008239410451.html,12x18cm(100pcs)
1,headphone,Headphones with stereo 3.5mm jack,https://www.amazon.com/gp/product/B08BT7KH9G,
1,AAA battery,AAA Alkaline battery,,
1,graphix,Trippy graphix for front of glasses,https://github.com/maltman23/Brain_Machine_kit/blob/main/Graphix/Graphix_with_Glasses_Outline_Sheet.pdf,
